predictor,method,n_records,n_proteins,standardized_slope,standard_error,ci95_low,ci95_high,p_value,r_squared
length_aa,OLS HC3,35,14,0.2648602854974025,0.3845728687203069,-0.517559098898038,1.047279669892843,0.49581777414582684,0.10783170321439595
length_aa,OLS protein-clustered,35,14,0.2648602854974025,0.2480819746770538,-0.2710882368283005,0.8008088078231055,0.3051120336171257,0.10783170321439595
length_aa,OLS study-clustered,35,14,0.2648602854974025,0.301601144359617,-0.448313094763484,0.978033665758289,0.4089746301259316,0.10783170321439595
length_aa,Huber robust regression,35,14,0.0744635056572153,0.12646350541867102,-0.17340041032206588,0.32232742163649647,0.555985930326685,
length_aa,median quantile regression,35,14,-0.1685043029019694,0.16525363778770283,-0.5047153569402029,0.16770675113626402,0.31530224549805286,
length_aa,family and assay adjusted OLS HC3,35,14,-0.587155323938112,0.5111766119857426,-1.5890430731693732,0.41473242529314924,0.25070653778802154,0.7470504819122382
domain_length_aa,OLS HC3,35,14,-0.06614523078496196,0.16499963145146015,-0.4018395050464606,0.26954904347653674,0.6910915577010083,0.011625242210006936
domain_length_aa,OLS protein-clustered,35,14,-0.06614523078496196,0.15750309098657114,-0.4064099718483575,0.2741195102784335,0.6813715080670226,0.011625242210006936
domain_length_aa,OLS study-clustered,35,14,-0.06614523078496196,0.19729664992082369,-0.5326776739457532,0.4003872123758293,0.7472537466698742,0.011625242210006936
domain_length_aa,Huber robust regression,35,14,0.03577219604962738,0.08997594408575046,-0.1405774138334332,0.21212180593268798,0.690943409159344,
domain_length_aa,median quantile regression,35,14,0.11178432867808202,0.12404761835481391,-0.1405924484769442,0.36416110583310823,0.3740436326219031,
domain_length_aa,family and assay adjusted OLS HC3,35,14,0.08468651445514266,0.08248833176711315,-0.07698764495319035,0.24636067386347568,0.3045860511581505,0.7429399952732183
idr_fraction,OLS HC3,35,14,0.10242803922285194,0.3930354833970975,-0.6972086641889383,0.9020647426346422,0.7960145009909125,0.012265779275247635
idr_fraction,OLS protein-clustered,35,14,0.10242803922285194,0.25905769249643645,-0.4572320798620254,0.6620881583077293,0.6989690693478672,0.012265779275247635
idr_fraction,OLS study-clustered,35,14,0.10242803922285194,0.31196483703619493,-0.6352515800771253,0.8401076585228292,0.7522637641870242,0.012265779275247635
idr_fraction,Huber robust regression,35,14,-0.07038653384519995,0.12799849762844245,-0.32125897927218267,0.1804859115817828,0.5823871068208968,
idr_fraction,median quantile regression,35,14,-0.0793402537641365,0.20339132313779895,-0.49314301205645,0.334462504528177,0.698978991316701,
idr_fraction,family and assay adjusted OLS HC3,35,14,0.12967892582972287,0.3549722853041891,-0.5660539688763645,0.8254118205358102,0.7148716033841975,0.7370249562905473
nterm40_idr_fraction,OLS HC3,35,14,-0.09457169131983219,0.16250774838802606,-0.42519619136931924,0.2360528087296549,0.5645539367786074,0.010578491491101238
nterm40_idr_fraction,OLS protein-clustered,35,14,-0.09457169131983219,0.11311159823001714,-0.33893444281837337,0.14979106017870897,0.41820649289695533,0.010578491491101238
nterm40_idr_fraction,OLS study-clustered,35,14,-0.09457169131983219,0.10511346142720909,-0.34312553137947344,0.1539821487398091,0.3981673605802736,0.010578491491101238
nterm40_idr_fraction,Huber robust regression,35,14,-0.12379745601832634,0.12849178162678707,-0.3756367203162144,0.12804180827956177,0.33531374552463666,
nterm40_idr_fraction,median quantile regression,35,14,-0.09677941322033642,0.2021264474034128,-0.5080087624816688,0.314449936040996,0.6352338671379584,
nterm40_idr_fraction,family and assay adjusted OLS HC3,35,14,0.11902219955576977,0.25303250986971715,-0.3769124067066516,0.6149568058181911,0.6380813837005717,0.7352639340438336
domain_charge_pH7,OLS HC3,35,14,0.009364780485985852,0.30647784929203203,-0.6141690922280262,0.6328986531999979,0.9758075785006837,0.00015022281529819548
domain_charge_pH7,OLS protein-clustered,35,14,0.009364780485985852,0.25684754681243094,-0.5455206091369494,0.5642501701089212,0.971469131509673,0.00015022281529819548
domain_charge_pH7,OLS study-clustered,35,14,0.009364780485985852,0.31053964321842714,-0.7249447909492776,0.7436743519212493,0.9767840525325651,0.00015022281529819548
domain_charge_pH7,Huber robust regression,35,14,-0.23099969498385395,0.08494175295956807,-0.3974824715683059,-0.06451691839940199,0.006537930368755555,
domain_charge_pH7,median quantile regression,35,14,-0.3595296176298858,0.13157633792657253,-0.6272236899238611,-0.09183554533591043,0.01001968013351885,
domain_charge_pH7,family and assay adjusted OLS HC3,35,14,-0.19995389013166423,0.17773620756174296,-0.548310455701416,0.14840267543808758,0.2605874687721086,0.7459804950093132
domain_gravy,OLS HC3,35,14,-0.4832197068386024,0.48222762425282567,-1.4643191852336277,0.49787977155642305,0.3236074240384569,0.23144988750543782
domain_gravy,OLS protein-clustered,35,14,-0.4832197068386024,0.2692133745017718,-1.0648198430128093,0.09838042933560465,0.09593769757353755,0.23144988750543782
domain_gravy,OLS study-clustered,35,14,-0.4832197068386024,0.27400671503920665,-1.1311426303195837,0.16470321664237886,0.12117569294574156,0.23144988750543782
domain_gravy,Huber robust regression,35,14,-0.4045429132674683,0.1506615165103397,-0.6998340594839209,-0.10925176705101569,0.007250569591821112,
domain_gravy,median quantile regression,35,14,-0.21977761868935777,0.22460426607887807,-0.6767384338992167,0.23718319652050115,0.334941326586012,
domain_gravy,family and assay adjusted OLS HC3,35,14,0.2042872766000091,0.26507619849337516,-0.31525252560579675,0.723827078805815,0.4409003155401229,0.7376628507695124
